id,grade,numOfBack,numOfForward,numOfPause,numOflearning,totalTime,numOfFast,numOfSlow,currentSession,startTime,currentVedio
bd4c9ab730f5513206b999ec0d90d1fb,0,16,42,43,113,9835992,3,5,,,
d2a27e83d429f0dcae6b937cf440aeb1,0,0,0,2,10,259649,0,0,,,
a376033f78e144f494bfc743c0be3330,0,10,3,52,112,8892855,0,0,,,
2a0f97f81755e2878b264adf39cba68e,0,4,0,26,37,4744891,0,1,,,
60ad83801910ec976590f69f638e0d6d,0,0,0,3,27,172685,0,0,,,
baed9f51d412c2514ee46a0942138ad6,0,44,21,63,71,8893256,0,0,,,
bac49b876d5dfc9cd169c22ef5178ca7,0,12,8,10,32,3279033,0,0,,,
94cb02feb750f20bad8a85dfe7e18d11,1,2,99,34,112,9820018,5,5,,,
4cc5400e63624c44fadeda99f57588a6,0,15,12,25,61,4866230,0,0,,,
566f0ea4f6c2e947f36795c8f58ba901,0,183,2219,20,161,105989818,0,0,,,
0a93091da5efb0d9d5649e7f6b2ad9d7,0,12,49,90,220,16820213,0,2,,,
fa733611ef13bd333ebfbab7eed14b63,0,0,2,24,57,3436607,0,0,,,
c6663e689b7d1495526d8c7403ccc67f,0,88,30,160,273,27559745,4,4,,,
8e5e15c4e6d09c8333a17843461041a9,0,5,7,11,34,2338685,0,0,,,
22456f4b545572855c766df5eefc9832,0,41,66,269,219,55286346,1,1,,,
c1c6fff1643a3af5bd167488ff19012d,0,3,1,39,95,3995399,2,1,,,
2d86c49db27011beb778b65b84d15017,0,0,0,12,29,1379467,0,0,,,
94e0f06fdc8dfe25346c8e5a103a34ff,0,26,81,46,143,11304625,1,1,,,
6e3115f9d6ac3c663e9a264fcefb6cd7,0,0,0,1,36,0,0,0,,,
6759d0996526ddc8e27aa550f0b806b1,0,8,26,25,63,6888649,0,0,,,
1e56fad414ee7e1760cb0dc170db7436,0,0,0,11,12,658385,0,0,,,
ead8e65817265dd1346c3d2b2ba251c5,0,12,37,18,66,4578603,0,0,,,
2365a4db507862569752334234a29b50,0,8,1,152,163,16658609,0,0,,,
ea537a490c78c08866a1149ac8451043,0,0,0,30,67,4496783,0,0,,,
ee68814cae37a08bcbbf9abe676eb730,0,8,7,21,56,4322228,4,2,,,
bd1de862c509c34de95c9a2655e48586,0,4,2,41,71,3963844,2,0,,,
2e109050f2fc63b816c101dfb8827600,0,18,17,40,87,5953997,0,0,,,
357429c78239304d194f517cde4ad439,0,42,40,104,175,17148667,2,1,,,
d3391ca3a0c6b2d227920e8fb5ece40b,1,6,13,64,176,11260052,5,4,,,
4b12d1170b1c520116d2b7987dd47140,0,0,0,29,50,2961345,0,0,,,
dd7d646241a0fb880caf9525f709215c,0,0,0,4,17,738456,0,0,,,
944eefd22dfe99fe7631b8ecc732c7cf,0,17,38,65,208,13391622,0,0,,,
121f112758e4254fd9b922dfa871720d,0,4,17,3,13,2073577,1,0,,,
e3f2b325739bbe549d3875450b27a3a1,1,127,474,254,500,76965713,0,0,,,
f5d5a9d3f41d573a4dd241b0476c7910,0,8,0,42,94,6872851,2,2,,,
3236fb951518ec5f7e607422b67cd180,0,2,5,16,30,3028745,0,0,,,
c1e8a51e7491032e586a55b86010e6e5,0,19,0,97,92,10881377,0,0,,,
badc93fe6e7962936c7f7d5ad32f69e4,1,20,10,63,143,8221407,0,0,,,
1a0b9d091283b31708a6e8dec004bd6e,0,52,12,126,219,14189562,0,0,,,
c695c406dd17d2fc9dbfe917adaf9e33,0,0,0,1,20,0,0,0,,,
1348c8b3dfa9441929698fc2ae07594e,0,2,5,10,24,1284113,2,0,,,
883fb98c56421224ce07c04318b0eeb7,0,5,17,12,62,3639553,10,4,,,
5f31aac2b5c1e3234a9eb40029ea0f11,1,106,91,152,295,37819501,2,2,,,
ccf2c17d9d1388d86d3bdb68bc85a49b,1,15,30,73,148,11396496,0,0,,,
f4d3a9b22204bc9cd4a83ec616bf6097,0,5,4,4,42,864400,3,1,,,
4e0c50348aedc8071dd0073f5aa46adc,0,0,91,14,47,7066422,1,0,,,
9677567bbe24856edcd584a7ab9d1334,0,4,9,52,134,7160944,0,0,,,
edfa4753bb5c89bacdd59680e4f94f44,0,6,8,67,113,8956599,2,2,,,
ab288b32838f06c08418731a818ca77c,0,62,45,368,301,42166605,1,1,,,
dd4d6182b1e45cf8b03b35ca1b100bd8,0,1,0,12,31,823754,0,0,,,
ab6c2776051fe76199341dc483bc5fcc,0,9,0,36,56,3543856,0,0,,,
bf518eabe3a80902d6ee77a87240d0e4,1,43,378,78,368,50895615,0,0,,,
d752136587ea829e1f5c07ceb23dc72c,1,23,59,96,223,19232598,0,0,,,
7c88409e0c338999109ebe622014400e,0,0,0,0,2,0,0,0,,,
f7fa86b2e550b949f824993846c68dba,0,23,126,57,113,18233245,0,0,,,
86822278a4217781cc93b9276b25c926,0,13,278,23,290,28425465,0,0,,,
f09244841ecac452935357c024c55e65,0,0,7,5,31,1813743,2,3,,,
abb2e494d8466016a029303922ed70b8,1,123,37,293,335,37804311,1,1,,,
7ac59af27455c172d45cc7cb41cad2e9,1,13,17,84,220,25672210,0,0,,,
8a5d25c7b9d765eecd48fffbd63d0188,1,24,34,391,207,46566295,10,9,,,
dea5d272a1e4e2026195731060dbd887,0,11,21,23,89,3358070,4,3,,,
a1dbc648d3cde67e146a2f810ded7bbd,1,0,0,5,67,769990,0,0,,,
b76bb256fc4184f4c961819bd60d469a,0,25,8,70,110,10934874,0,0,,,
cf4aa1d389db2d82136f8bf8e0fc1731,1,47,157,181,347,54358320,11,9,,,
90eca48f34159170f5d90191308de69a,0,12,13,8,29,2249790,0,0,,,
14ebaf113e1ec6bfb0477bc06b0442b7,0,2,5,62,124,7217644,1,1,,,
ab24196958cfb05be30a2e61f67f9945,0,15,4,54,84,9907830,1,2,,,
8c2c4ddc10b63cf73e9219af28a5a5c7,1,0,0,0,54,0,0,0,,,
27219bfbe2bbda0407608eb8e278cbce,0,0,11,1,42,1987877,0,0,,,
ab14bac58efcbc49c5e96f231a2e844d,1,136,83,440,469,53352838,20,15,,,
2d65649f02b1b033a4423339b10d0bbf,0,1,2,19,96,2514029,3,3,,,
8318bde2264547b2b138e61a1e7e064f,0,21,24,409,367,66784018,0,0,,,
59b1d1f250383b5374f465d5a7d7485a,0,4,36,74,99,13512904,13,9,,,
6ca16637f59a5b223f33f87338d7e6c6,1,11,48,23,94,9469827,0,0,,,
6238a09272731afa11213c8ee9a76ebb,0,51,13,90,250,16835288,1,0,,,
f31b41510c8fa0f38ab8d669a66bf249,0,13,89,16,101,10436478,1,1,,,
fc41493eef2e2cf61a6110bfae3edba1,0,4,0,2,10,1209017,1,0,,,
3a6fb06246afab1becae063111c2a854,0,147,162,203,232,33886988,8,6,,,
be7b0198a5f76478f2ff7a3dfe3defce,0,5,5,25,53,3794025,0,0,,,
6b01e99a09365f1e275892cd702cfc75,0,0,0,0,5,0,0,0,,,
9ec1b7b908c02f63b2a607d37e9ae45f,0,2,10,6,12,2419906,2,1,,,
fb5e64d14198251935f7cc7d3ad58590,0,10,123,2,148,11488097,0,0,,,
e099dcaa1fbe6ed7d9f843e37efc5097,1,14,114,41,227,19842593,5,5,,,
e59ada7d5df0ab75beb3ccd99cdcc5cc,1,11,3,46,118,5723581,3,1,,,
fc49035b9e68cf6962092ad784873c10,1,297,384,1367,699,152231823,1,1,,,
576cd01c2d63ed35ca3f5e09a9b0e04e,0,12,1,119,75,9076604,2,1,,,
d24eee0977fc0d207f8a53b091fa00d3,0,1,0,8,23,3409,1,1,,,
4a1f9bafa4bb9da6ab0f9cc5fab1bcad,1,0,0,1,98,356,0,0,,,
21e9bc0da28b2ba2d2cc89efac1dc0d7,0,1,8,31,62,5167151,0,0,,,
0d3328b401d9e63854b3af6c87895c65,1,27,49,79,171,16760056,3,1,,,
26d5b910ae5e893bc16b1c2185a88643,0,32,50,60,126,11287822,6,1,,,
f81a37ca2046ab8bfcc9c03a8964806b,0,51,24,121,285,17885468,3,3,,,
617d9b318550bc7a24e33564f76ffc28,0,26,9,19,58,8568054,3,3,,,
7a3460c317415eb5c50b3cbaa95e5b06,0,16,4,142,134,13716548,1,1,,,
15f7da5ab1a779d3e328cf8211a55fab,1,0,0,0,22,0,0,0,,,
8c1a079d033757466c8385d41a800428,0,4,0,9,23,2334070,0,0,,,
88ed4ff421da13fd99deecbb987fb7d1,0,23,36,77,168,15686734,3,4,,,
72c26dade152f790ddc1cb0559c2ba96,0,3,3,20,65,2606490,0,0,,,
59d9ca2ab6dfe6759705bbda4c232ec5,0,18,4,83,106,17612518,7,5,,,
41654184e829d48e77fe9f1398fcb697,0,0,0,0,6,0,0,0,,,
edd6919f400681520a7ed81f7d7981ff,1,0,1,7,149,390418,0,0,,,
57e21b6a4209eda2a587a6ad3848e16f,1,22,7,16,78,2683467,0,0,,,
7b35a1122309e7451c5060ae86700961,0,2,28,13,27,5627643,0,0,,,
ffd3c5e349fa5745159deef163b5c253,0,1,0,2,39,950406,0,0,,,
1facbebad34862a16418a25efcac9ddb,0,3,9,21,107,4673033,0,0,,,
e79dd48cf174d63fc0608bc39751653a,0,15,6,28,66,7648821,0,0,,,
bc524410ff5d6e003e4f9b9714e1a13a,0,4,0,18,30,2508388,1,1,,,
22393d4c0c43b1b31bc3cae365051c8f,1,59,71,114,276,21802994,1,1,,,
0419e4886d526a8ea944005a56bff323,1,305,205,737,774,125259080,87,82,,,
5606ab07bbd660daf7328b98163b801f,1,0,4,1,15,353865,0,0,,,
00283999ebb74c7052f962400b51af1b,1,13,20,122,443,41460023,1,0,,,
17bf9917597de0b24f141f6923601b77,0,31,209,168,319,32302427,0,0,,,
3a94ea5062e2351fca3f60ef6da9004f,0,2,3,28,52,4295900,0,0,,,
984548ec6f802130933c006e42bb8159,0,0,0,0,3,0,0,0,,,
99063c2b0fcc8b8edaefc680132839b7,1,46,249,108,372,46245888,2,2,,,
